Image,Percentage_of_Gray_Fat_Content
00000001-1.tif,94.89637966200466,5.101571605477855
00000002-1.tif,93.6002148892774,6.3981916520979025
00000003-1.tif,95.95420855186481,4.043742715617716
00000004-1.tif,93.55901260198135,6.438028117715618
00000005-1.tif,93.25716601107226,6.741012893356643
00000006-1.tif,92.65506628787878,7.317162004662005
00000007-1.tif,95.49688592657343,4.501520614801865
00000008-1.tif,96.07781541375292,3.9210464015151514
00000009-1.tif,94.87111196095572,5.127066943473194
00000010-1.tif,94.60158981643356,5.396361451048951
00000011-1.tif,97.96583624708624,2.033025568181818
00000012-1.tif,93.24396306818183,6.750118371212121
00000013-1.tif,99.13702833624708,0.861833479020979
00000014-1.tif,94.2243953962704,5.773783508158508
00000015-1.tif,95.4939266462704,4.505162805944056
00000016-1.tif,92.54352418414918,7.454882357226107
00000017-1.tif,93.76798331876456,6.2315614073426575
00000018-1.tif,99.2276278409091,0.7716892482517483
00000019-1.tif,92.62843276515152,7.369746139277389
00000020-1.tif,93.01063519813519,6.987543706293706
00000021-1.tif,95.02795381701632,4.9702250874125875
00000022-1.tif,92.38873106060606,7.575529938811189
00000023-1.tif,92.82966382575758,7.169653263403264
00000024-1.tif,96.58635635198135,3.4115949155011656
00000025-1.tif,91.96487106643356,8.032852564102564
00000026-1.tif,96.42450648310023,3.5736724213286712
00000027-1.tif,99.02844551282051,0.9697333916083916
00000028-1.tif,90.0199409965035,9.97732736013986
00000029-1.tif,81.18808275058275,18.423340981934732
00000030-1.tif,94.91072078962704,5.087458114801865
00000031-1.tif,92.75386072261072,7.2443181818181825
00000032-1.tif,93.10965726981351,6.888521634615384
00000033-1.tif,93.1585992132867,6.804978875291376
00000034-1.tif,95.19526697261072,4.802684294871796
00000035-1.tif,93.60453999125873,6.392956002331002
00000036-1.tif,94.01656286421911,5.833652025058275
00000037-1.tif,95.23897326631702,4.759205638111888
00000038-1.tif,94.44998361013987,5.5481952942890445
00000039-1.tif,94.03636727855478,5.961811625874126
00000040-1.tif,92.53487398018649,7.464443108974359
00000041-1.tif,78.91330674533799,19.93985831876457
00000042-1.tif,95.70790537587412,4.290273528554779
00000043-1.tif,95.15565814393939,4.84252076048951
00000044-1.tif,94.2521671037296,5.746922348484849
00000045-1.tif,96.52193509615384,3.477381993006993
00000046-1.tif,93.10464925699301,6.893757284382285
00000047-1.tif,91.28719587703962,8.710983027389277
00000048-1.tif,94.74340763403264,5.255681818181818
00000049-1.tif,94.86815268065268,5.130936771561771
00000050-1.tif,95.2182583041958,4.780148237179487
00000051-2.tif,95.74523783508158,4.252941069347319
00000052-2.tif,99.07465581293707,0.9244336392773892
00000053-2.tif,93.77595061188812,6.22313884032634
00000054-2.tif,94.20276988636364,5.7963195658508155
00000055-2.tif,95.53353547494171,4.4657816142191145
00000056-2.tif,96.58225888694638,3.416147654428905
00000057-2.tif,95.59112762237763,4.408189466783217
00000058-2.tif,92.05456002331003,7.940659600815851
00000059-2.tif,90.50867752039628,9.490639568764568
00000060-2.tif,99.44046838578089,0.5586210664335665
00000061-2.tif,95.64143538752914,4.357654064685314
00000062-2.tif,93.38259396853147,6.617406031468532
00000063-2.tif,94.48913716491842,5.508814102564102
00000064-2.tif,94.9967675553613,5.000500801282051
00000065-2.tif,97.44272654428904,2.5563629079254078
00000066-2.tif,99.45116732226107,0.54792212995338
00000067-2.tif,93.3072461392774,6.692070949883449
00000068-2.tif,93.6785219988345,6.320339816433567
00000069-2.tif,90.82281650641025,9.169671474358974
00000070-2.tif,95.75775786713287,4.238827578671329
00000071-2.tif,99.4645979020979,0.5344915501165501
00000072-2.tif,95.4135708041958,4.585746284965035
00000073-2.tif,94.06504953379954,5.931308275058275
00000074-2.tif,93.90456548659674,6.088605405011656
00000075-2.tif,93.64392118298368,6.354712995337995
00000076-2.tif,93.78710482226107,6.21198462995338
00000077-2.tif,94.56198098776224,5.437336101398602
00000078-2.tif,96.31660657051282,3.681344696969697
00000079-2.tif,94.89342038170163,5.048759833916084
00000080-2.tif,95.69834462412588,4.300972465034965
