Filename,Carcass_ID,Score,Grade Category
00000001-1.tif,1,450,Low Choice
00000002-1.tif,2,526.7,Upper 2/3 Choice
00000003-1.tif,3,320,Select
00000004-1.tif,4,453.3,Low Choice
00000005-1.tif,5,566.7,Upper 2/3 Choice
00000006-1.tif,6,406.7,Low Choice
00000007-1.tif,7,370,Select
00000008-1.tif,8,383.3,Select
00000009-1.tif,9,393.3,Select
00000010-1.tif,10,440,Low Choice
00000011-1.tif,11,486.7,Low Choice
00000012-1.tif,12,460,Low Choice
00000013-1.tif,13,560,Upper 2/3 Choice
00000014-1.tif,14,356.7,Select
00000015-1.tif,15,410,Low Choice
00000016-1.tif,16,476.7,Low Choice
00000017-1.tif,17,453.3,Low Choice
00000018-1.tif,18,463.3,Low Choice
00000019-1.tif,19,423.3,Low Choice
00000020-1.tif,20,360,Select
00000021-1.tif,21,393.3,Select
00000022-1.tif,22,350,Select
00000023-1.tif,23,580,Upper 2/3 Choice
00000024-1.tif,24,366.7,Select
00000025-1.tif,25,576.7,Upper 2/3 Choice
00000026-1.tif,26,423.3,Low Choice
00000027-1.tif,27,493.3,Low Choice
00000028-1.tif,28,313.3,Select
00000029-1.tif,29,310,Select
00000030-1.tif,30,483.3,Low Choice
00000031-1.tif,31,430,Low Choice
00000032-1.tif,32,480,Low Choice
00000033-1.tif,33,333.3,Select
00000034-1.tif,34,330,Select
00000035-1.tif,35,333.3,Select
00000036-1.tif,36,376.7,Select
00000037-1.tif,37,426.7,Low Choice
00000038-1.tif,38,450,Low Choice
00000039-1.tif,39,416.7,Low Choice
00000040-1.tif,40,566.7,Upper 2/3 Choice
00000041-1.tif,41,380,Select
00000042-1.tif,42,430,Low Choice
00000043-1.tif,43,456.7,Low Choice
00000044-1.tif,44,480,Low Choice
00000045-1.tif,45,413.3,Low Choice
00000046-1.tif,46,380,Select
00000047-1.tif,47,423.3,Low Choice
00000048-1.tif,48,563.3,Upper 2/3 Choice
00000049-1.tif,49,443.3,Low Choice
00000050-1.tif,50,440,Low Choice
00000051-2.tif,51,460,Low Choice
00000052-2.tif,52,410,Low Choice
00000053-2.tif,53,433.3,Low Choice
00000054-2.tif,54,376.7,Select
00000055-2.tif,55,370,Select
00000056-2.tif,56,296.7,Standard
00000057-2.tif,57,366.7,Select
00000058-2.tif,58,486.7,Low Choice
00000059-2.tif,59,523.3,Upper 2/3 Choice
00000060-2.tif,60,440,Low Choice
00000061-2.tif,61,350,Select
00000062-2.tif,62,556.7,Upper 2/3 Choice
00000063-2.tif,63,353.3,Select
00000064-2.tif,64,350,Select
00000065-2.tif,65,313.3,Select
00000066-2.tif,66,363.3,Select
00000067-2.tif,67,466.7,Low Choice
00000068-2.tif,68,310,Select
00000069-2.tif,69,410,Low Choice
00000070-2.tif,70,406.7,Low Choice
00000071-2.tif,71,470,Low Choice
00000072-2.tif,72,376.7,Select
00000073-2.tif,73,510,Upper 2/3 Choice
00000074-2.tif,74,433.3,Low Choice
00000075-2.tif,75,483.3,Low Choice
00000076-2.tif,76,310,Select
00000077-2.tif,77,423.3,Low Choice
00000078-2.tif,78,416.7,Low Choice
00000079-2.tif,79,376.7,Select
00000080-2.tif,80,400,Low Choice
